"itemID","textChunk","textChunk2","MannMln","natLogMannMln"
"20_scientific_real","und stellten es","und stellten es",701,6.55393340402581
"21_everyday_pseudo","über die sie","über die sie",931,6.83733281468559
"21_everyday_real","über die sie","über die sie",931,6.83733281468559
"21_scientific_pseudo","über die sie","über die sie",931,6.83733281468559
"21_scientific_real","über die sie","über die sie",931,6.83733281468559
"22_everyday_pseudo","und wurde","und wurde",11596,9.3585017229567
"22_everyday_real","und wurde","und wurde",11596,9.3585017229567
"22_scientific_pseudo","und wurde","und wurde",11596,9.3585017229567
"22_scientific_real","und wurde","und wurde",11596,9.3585017229567
"23_everyday_pseudo","und wurde","und wurde",11596,9.3585017229567
"23_everyday_real","und wurde","und wurde",11596,9.3585017229567
"23_scientific_pseudo","und wurde","und wurde",11596,9.3585017229567
"23_scientific_real","und wurde","und wurde",11596,9.3585017229567
"24_everyday_pseudo","bestand,","bestand ",358,5.88332238848828
"24_everyday_real","bestand,","bestand ",358,5.88332238848828
"24_scientific_pseudo","bestand,","bestand ",358,5.88332238848828
"24_scientific_real","bestand,","bestand ",358,5.88332238848828
"3_everyday_pseudo","und arbeitete","und arbeitete",243,5.4971682252932
"3_everyday_real","und arbeitete","und arbeitete",243,5.4971682252932
"3_scientific_pseudo","und arbeitete","und arbeitete",243,5.4971682252932
"3_scientific_real","und arbeitete","und arbeitete",243,5.4971682252932
"4_everyday_pseudo","benutzen,","benutzen ",80,4.39444915467244
"4_everyday_real","benutzen,","benutzen ",80,4.39444915467244
"4_scientific_pseudo","benutzen,","benutzen ",80,4.39444915467244
"4_scientific_real","benutzen,","benutzen ",80,4.39444915467244
"5_everyday_pseudo","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_everyday_real","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_scientific_pseudo","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"5_scientific_real","auf der vorletzten","auf der vorletzten",7,2.07944154167984
"6_everyday_pseudo","versammelt","versammelt",24,3.2188758248682
"6_everyday_real","versammelt","versammelt",24,3.2188758248682
"6_scientific_pseudo","versammelt","versammelt",24,3.2188758248682
"6_scientific_real","versammelt","versammelt",24,3.2188758248682
"7_everyday_pseudo","und sie","und sie",3813,8.24643378616036
"7_everyday_real","und sie","und sie",3813,8.24643378616036
"7_scientific_pseudo","und sie","und sie",3813,8.24643378616036
"7_scientific_real","und sie","und sie",3813,8.24643378616036
"8_everyday_pseudo","daraus hervor","daraus hervor",97,4.58496747867057
"8_everyday_real","daraus hervor","daraus hervor",97,4.58496747867057
"8_scientific_pseudo","heraus","heraus",121,4.80402104473326
"8_scientific_real","heraus","heraus",121,4.80402104473326
"9_everyday_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"9_everyday_real","sein könnte,","sein könnte ",4203,8.34379173199684
"9_scientific_pseudo","sein könnte,","sein könnte ",4203,8.34379173199684
"9_scientific_real","sein könnte,","sein könnte ",4203,8.34379173199684
