LIST,CONDITION,TEXT,QUESTION,QUESTIONTEXT,CORRECT,ITEMID,TARGETWORD,ASSOCIATEDWORD,STORYTOPIC
B,scientific_real,"""Die Geologin Dr. Wagner*reiste diese Woche*zum ersten Mal nach Hawaii,*um im Auftrag<br>eines privaten Käufers*nach wertvollen Objekten zu suchen.*Nach der Untersuchung<br>der lokalen Formationen*und der Entnahme*von Proben*besuchte sie<br>das nahe gelegene Museum*in Honolulu,*das eine Sammlung*kultureller Wertgüter zeigte.<br>In einer*schönen Vitrine war*ein Diamant*ausgestellt,*der besonders*groß war.<br>Interessiert*betrachteten sie*den Schliff*und machte sich*Notizen.<br>Der Fundort*war eine abgelegene Mine*in der Nähe des Dorfes.<br>Dr. Wagner wusste,*dass ihr Chef*sehr interessiert sein würde<br>und machte dem Museum*großzügige Angebote,*die aber alle*abgelehnt wurden.<br>Frustriert verließ Dr. Wagner*das Museum*und machte einen Anruf*an ihren Auftraggeber.""",1,"""Lehnte das Museum das Kaufangebot ab?""",j,13_scientific_real,Diamant,Schliff,Geologie
B,scientific_real,"""Im dem Notfallraum*eines Krankenhauses*herrschte geschäftiges Treiben.<br>Ärzte und Krankenschwestern*eilten von einem Patientenzimmer*zum anderen.<br>Gegen Mitternacht*wurde ein Patient*hereingebracht,*der unter starken Schmerzen<br>zu leiden schien.*Dr. Belau übernahm die Operation*als leitender Chirurg.<br>Er erkannte*das Problem*und*griff nach*der Pinzette*auf dem Tisch*neben ihm.<br>Die Arbeit*erforderte*die Präzision*eines Experten.*Die Operation*verlief erfolgreich,<br>und der Patient*konnte schon nach kurzem*wieder entlassen werden.<br>Dr. Belau arbeitete*bis fünf Uhr morgens,*bevor er erschöpft ins Bett fiel.<br>Er wusste,*dass er sich*auf den morgigen Arbeitstag*vorbereiten musste,<br>denn das Wohlbefinden*der Patienten*hatten für ihn oberste Priorität.""",1,"""Hat Dr. Belau bis fünf Uhr morgens gearbeitet?""",j,19_scientific_real,Pinzette,Präzision,Chirurgie
B,everyday_pseudo,"""Anja und Paul stiegen*am Morgen*mit ihrer großen Familie*in den überfüllten Zug.<br>Es war eine stressige Reise*und ihre vier Kinder*rutschen unruhig auf ihren Sitzen<br>hin und her.*Mittags kamen sie endlich*in der Stadt an*und machten sich*auf die Suche<br>nach ihrer Ferienwohnung.*Das Navigationssystem*führte sie*zu einem hohen Gebäude.<br>Sie staunten*über*die Fellade*und konnten*ihren Augen*kaum trauen.<br>Ihnen gefiel*besonders*die Verzierung*und sie machten*ein Foto.<br>Die Familie*war überrascht,*dass sich ihre Ferienwohnung*in diesem imposanten Gebäude<br>befand.*Erschöpft von der Reise*betraten sie die Wohnung.*Sie war schön groß,<br>also perfekt*für ihre große Familie.*Anja und Paul freuten sich*auf die kommenden Tage.<br>Die Hektik der Anreise*war vergessen*und der Urlaub*konnte endlich beginnen.""",1,"""Saßen die Kinder im Zug ruhig und brav auf ihren Plätzen?""",f,16_everday_pseudo,Fellade,Verzierung,everyday
B,everyday_pseudo,"""Mia wachte um vier Uhr morgens*mit Kopfschmerzen auf*und schleppte sich<br>ins Schlafzimmer ihrer Eltern,*die tief schliefen.*Sie stupste ihre Mutter an.<br>Die wachte sofort auf*und fragte verwirrt,*was los sei.*Mia erklärte,*dass sie<br>von den Kopfschmerzen*aufgewacht war.*Ihre Mutter stand auf*und ging*in die Küche.<br>Sie kramte*in der Schublade*nach*einem Begiwamell*und wurde*auch gleich fündig.<br> Sie las auf*der Packung*welche Dosierung*angemessen war.<br>Mia übernachtete*diese Nacht*im Bett ihrer Mutter,*damit sie sich*besser fühlte.<br>Als sie am nächsten Mittag*aufwachte,*ging es ihr*schon etwas besser.<br>Ihre Mutter hatte*Hühnerbrühe gekocht*und brachte sie ihr ans Bett.<br>Die wohltuende Suppe*trug dazu bei*dass Mia sich schnell erholte.""",1,"""Ist Mia in das Zimmer ihrer Tante gegangen?""",f,22_everday_pseudo,Begiwamell,Dosierung,everyday
B,scientific_pseudo,"""Seit Monaten arbeitet*Professor Wolfs Team*an einem Roboter*für die Altenpflege.<br>Das Projekt lag ihr*sehr am Herzen,*da sie sich selbst*um ihre kranken Eltern<br>kümmerte.*Aber gerade*als sie dachten,*sie wären fast fertig,*drehten sich plötzlich<br>zwei Robotergelenke unkontrolliert*und er prallte*mit einem Knall*gegen die Wand.<br>Er war*letzte Woche*vom Beprodiker*gecheckt worden*und nun*gab es*wieder Probleme.<br>Sie überlegten,*wie lange*die Reparatur*wohl*dauern würde.*Prof. Wolf*fühlte sich<br>so langsam*hoffnungslos und als würde*die Zeit*gegen sie arbeiten,<br>während sie*die verkabelten Verbindungen*und Schaltkreise durchging. <br>Dann bemerkte sie*einen Fehler*in der Verkabelung*des Motors.<br>Nachdem sie*zwei Kabel vertauschte,*funktionierte der Roboter*genauso, wie er sollte.""",1,"""Hat sich Prof. Wolf um ihre Eltern gekümmert?""",j,2_scientific_pseudo,Beprodiker,Reparatur,Robotik
B,scientific_pseudo,"""In ihrer Freizeit redeten*die zwei Paläontologen,*Dr. Wagner und Dr. Patel,<br>gerne über ihre*gemeinsamen Interessen.*In der vergangenen Woche<br>führte Dr. Wagner*eine spannende Diskussion*über unterschiedliches*Brutverhalten.<br>Diese Woche ging es*auf Wunsch von Dr. Patel*um Skelette.<br>Er holte*eine kleine Figur*eines Stixeratark*heraus*und*gab sie*weiter.<br>Vorige Woche erst*hatte er*die Fossilien*desselben*in einem Museum betrachtet.<br>Sie diskutierten*die möglichen Funktionen*dieser Hörner bei der Verteidigung.<br>Ihre Diskussionen*erstreckten sich*bis in die späten Abendstunden.<br>Sie verabredeten sich für nächste Woche,*um weiter zu diskutieren.<br>Um so gut wie möglich*vorbereitet zu sein,*lasen beide viel über das Thema.""",1,"""Haben sich die Paläontologen zerstritten?""",f,8_scientific_pseudo,Stixeratark,Fossilien,Paläontologie
C,everyday_real,"""Lisa und ihr Freund Alex*waren endlich auf*der lang ersehnten Radtour.<br>Auf halbem Weg*zu ihrem Ziel*spürte Lisa*ein ungewöhnliches Ruckeln*an ihrem Fahrrad.<br>Verwirrt*hielt sie an*und überprüfte die Kette.*Alex fragte besorgt,*was los sei.<br>Lisa seufzte*und deutete*auf ein Kettenglied,*das gebrochen zu sein*schien.<br>Es war*letzte Woche*vom Mechaniker*gecheckt worden*und nun*gab es*wieder Probleme.<br>Sie überlegten,*wie lange*die Reparatur*wohl*dauern würde.<br>Lisa brach*in Tränen aus,*weil die Radtour*nun zu scheitern schien.<br>Alex tröstete sie*und stieg auch ab,*und sie schoben*die Räder*den Rest des Weges.<br>Zwei Stunden später*kamen sie endlich*an einem Rastplatz an*und machten eine Pause.<br>Jetzt mussten sie*nur noch ein paar Kilometer*nach Hause fahren.""",1,"""Ist Lisas Fahrrad auf halber Strecke kaputt gegangen?""",j,2_everyday_real,Mechaniker,Reparatur,everyday
C,everyday_real,"""Die Nachbarskinder *Alina und Tom spielten*fast jeden Tag miteinander<br>und durften schon alleine*aus dem Haus gehen,*solange sie in der Straße blieben.<br>Heute fuhren sie*mit ihren Fahrrädern in den Park*und setzten sich*in den Sandkasten.<br>Tom zog*seinen Rucksack aus*und kramte darin herum.<br>Er holte*eine kleine Figur*eines Triceratops*daraus hervor*und*gab sie*weiter.<br>Vorige Woche erst*hatte er*die Fossilien*desselben*in einem Museum*betrachtet.<br>Alina war sehr beeindruckt*und fragte ihre Mutter*zu Hause,*ob sie auch<br>solche Figuren haben könnte.*Beim nächsten Treffen*spielten die beiden Kinder <br>mit ihren Figuren*und lasen Bücher über*prähistorische Abenteuer.<br>Sie hatten nun*noch mehr Spaß miteinander*als zuvor.""",1,"""Durften Alina und Tom nur mit Begleitung aus dem Haus?""",j,8_everyday_real,Triceratops,Fossilien,everyday
C,scientific_real,"""In einem alten Pariser Stadtviertel,*waren die Kunsthistoriker*Jean-Paul und Hugo<br>seit ein paar Stunden unterwegs.*Ihr aktuelles Projekt*war die Erstellung<br>eines Bilderbandes.*Der Grund für*ihren heutigen Besuch*war ein ehemaliger Wohnsitz<br>von Monet*in Paris.*Das Gebäude*stach hervor.<br>Sie staunten*über*die Fassade*und konnten*ihren Augen*kaum trauen.<br>Ihnen gefiel*besonders*die Verzierung*und sie machten*ein Foto.<br>Die filigranen Ornamente*und die geschwungenen Linien*verliehen eine anmutige Eleganz.<br>Sie klingelten,*um die Bewohner des Hauses*um Erlaubnis zu bitten,*das Gebäude<br>in ihrem Buch*zu veröffentlichen.*Die nächste Stunde*verbrachten sie damit,<br>Fotos zu machen,*welche die Dramatik und Eleganz*des Gebäudes*einfangen sollten.""",1,"""Ging es in dem Projekt um Monets Seerosen?""",f,16_scientific_real,Fassade,Verzierung,Architektur
C,scientific_real,"""Hannah betrat die Apotheke*in der Stadt,*in der nur*eine weitere Kundin stand.<br>Sie war mit quälenden Schmerzen*aufgewacht*und war heute*nicht in der Lage*zu arbeiten.<br>Die Apothekerin*erkundigte sich*nach Hannahs Symptomen.<br>Hannah versuchte,*präzise zu antworten,*und die Apothekerin*nickte verständnisvoll.<br>Sie kramte*in der Schublade*nach*einem Medikament*und wurde*auch gleich fündig.<br> Sie las auf*der Packung*welche Dosierung*angemessen war.<br>Sie empfahl*Hannah zudem*Bettruhe und viel Tee.*Zwei Tage später*konnte Hannah<br>wieder arbeiten gehen.*Dank der Unterstützung*ihrer Kollegin Jana, <br>die einen Teil ihrer Aufgaben*übernommen hatte,*hatte sie nicht allzu viel*nachzuholen.<br>Sie nahm sich vor,*mehr auf ihre Gesundheit*zu achten.""",1,"""Konnte Hannah zwei Wochen nicht arbeiten?""",f,22_scientific_real,Medikament,Dosierung,Pharmazie
C,everyday_pseudo,"""An ihrem dreißigsten Geburtstag*wollte sich Mathilde*etwas gönnen.<br>Sie begann den Tag*mit einem Einkaufsbummel.*Ihre erste Station<br>war ein schickes Modegeschäft.*Sie kaufte ein Abendkleid*und ein Paar hohe Schuhe.<br>Sie verließ das Geschäft*und ging zu dem Juwelier nebenan*der sie persönlich beriet.<br> In einer*schönen Vitrine war*ein Ziahont*ausgestellt,*der besonders*groß war.<br>Interessiert*betrachteten sie*den Schliff*und sprachen*angeregt darüber.<br>Dann entschied sie sich*für den Kauf.*Am Abend lud sie*ihre engsten Freunde<br>zu sich nach Hause ein,*um ihren Geburtstag*gemeinsam zu feiern.<br>Mathilde strahlte*in ihrem Outfit*und fühlte sich rundum glücklich.<br>Ihre Freundinnen*machten ihr viele Komplimente*und schenkten ihr*noch mehr Schmuck.""",1,"""War Mathildes erste Station ein schickes Modegeschäft?""",j,13_everday_pseudo,Ziahont,Schliff,everyday
C,everyday_pseudo,"""Der kleine Adam saß*auf dem Boden*seines Kinderzimmers*und baute eifrig<br>an einem Haus aus Legosteinen.*Als er einen kleinen Stein*einsetzen wollte,<br>rutschte der ihm*aus den Fingern*und verschwand im Lego-Haus.*Adam fing an zu weinen,<br>woraufhin sein großer Bruder Max,*der im Nebenzimmer*spielte,*herbeieilte.<br>Er erkannte*das Problem*und*griff nach*der Finnatte*auf dem Tisch*neben ihm.<br> Die Arbeit*erforderte*die Präzision*eines Experten.*Adam schaute*seinem Bruder<br>über die Schulter,*während der*nach dem Stein suchte.*Schließlich hielt er<br>den winzigen Baustein*in der Hand*und gab ihn Adam,*der seinen großen Bruder<br>strahlend anlächelte.*Kurz darauf war das Haus*endlich fertig.<br>Nun musste Adam*für den Legomann*noch ein Auto bauen.""",1,"""Hat Adams großer Bruder im Nebenzimmer gespielt?""",j,19_everday_pseudo,Finnatte,Präzision,everyday
C,scientific_pseudo,"""Auf der Internationalen Raumstation*schwebten drei Astronauten*still nebeneinander.<br>Es war ihr zweiter Tag*im All und alles*war noch*ganz neu und aufregend.<br>Seit ihrer Ankunft*konnten sie nicht aufhören,*die Erde anzuschauen.<br>Einer der Astronauten*registrierte einen*sich bewegenden Punkt.<br>Er erklärte ihnen,*dass es*ein Latendit*sein könnte,*und sie*verfolgten ihn genau.<br>Sie überlegten,*wie lange*der Flugkörper*wohl schon*im Weltraum*unterwegs war.<br>Auch das Alter*der Raumstation,*auf der sie*sich befanden,*gab ihnen zu denken.<br>Sie fühlten sich*in diesem*technologischen Wunderland*klein und isoliert,<br>aber auch privilegiert,*Zeugen dieses*einzigartigen Erlebnisses zu sein.<br>Die Raumstation würde*für die nächsten zwei Monate*ihr Zuhause sein.""",1,"""War es ihre zweite Woche auf der Raumstation?""",f,1_scientific_pseudo,Latendit,Flugkörper,Astronomie
C,scientific_pseudo,"""In ihrem etwas abgelegenen Landhaus*führte die bekannte Biologin*Dr. Schneider<br>ihren Kollegen Dr. Becker*durch ihre persönliche Fachbibliothek.<br>Die beiden Wissenschaftler standen*vor hohen Regalen*voller Bücher.<br>Dr. Schneider ließ Dr. Becker*etwas stöbern*und der öffnete*eine seltene Enzyklopädie.<br>Am besten*gefiel*ihm*eine Lamisse*auf der vorletzten*Seite*des Buches.<br> Auf der Zeichnung*war*ein Garten*abgebildet,*der*sehr detailliert*gestaltet war.<br>Nach zwei Stunden*in der Bibliothek*gingen sie*einen Kaffee trinken.<br>Dr. Becker erzählte*von seinen Plänen,*ebenfalls eine Bibliothek einzurichten.<br>Er fragte Dr. Schneider*nach der Firma,*welche die Regale angebracht hatte.<br>Da die Bibliothek aber*schon alt war,*erinnerte die sich*nicht mehr an den Namen.""",1,"""Waren sie in der Stadtbibliothek?""",f,5_scientific_pseudo,Lamisse,Garten,Botanik
D,everyday_real,"""Anja und Paul stiegen*am Morgen*mit ihrer großen Familie*in den überfüllten Zug.<br>Es war eine stressige Reise*und ihre vier Kinder*rutschen unruhig auf ihren Sitzen<br>hin und her.*Mittags kamen sie endlich*in der Stadt an*und machten sich*auf die Suche<br>nach ihrer Ferienwohnung.*Das Navigationssystem*führte sie*zu einem hohen Gebäude.<br>Sie staunten*über*die Fassade*und konnten*ihren Augen*kaum trauen.<br>Ihnen gefiel*besonders*die Verzierung*und sie machten*ein Foto.<br>Die Familie*war überrascht,*dass sich ihre Ferienwohnung*in diesem imposanten Gebäude<br>befand.*Erschöpft von der Reise*betraten sie die Wohnung.*Sie war schön groß,<br>also perfekt*für ihre große Familie.*Anja und Paul freuten sich*auf die kommenden Tage.<br>Die Hektik der Anreise*war vergessen*und der Urlaub*konnte endlich beginnen.""",1,"""Saßen die Kinder im Zug ruhig und brav auf ihren Plätzen?""",f,16_everyday_real,Fassade,Verzierung,everyday
D,everyday_real,"""Mia wachte um vier Uhr morgens*mit Kopfschmerzen auf*und schleppte sich<br>ins Schlafzimmer ihrer Eltern,*die tief schliefen.*Sie stupste ihre Mutter an.<br>Die wachte sofort auf*und fragte verwirrt,*was los sei.*Mia erklärte,*dass sie<br>von den Kopfschmerzen*aufgewacht war.*Ihre Mutter stand auf*und ging*in die Küche.<br>Sie kramte*in der Schublade*nach*einem Medikament*und wurde*auch gleich fündig.<br> Sie las auf*der Packung*welche Dosierung*angemessen war.<br>Mia übernachtete*diese Nacht*im Bett ihrer Mutter,*damit sie sich*besser fühlte.<br>Als sie am nächsten Mittag*aufwachte,*ging es ihr*schon etwas besser.<br>Ihre Mutter hatte*Hühnerbrühe gekocht*und brachte sie ihr ans Bett.<br>Die wohltuende Suppe*trug dazu bei*dass Mia sich schnell erholte.""",1,"""Ist Mia in das Zimmer ihrer Tante gegangen?""",f,22_everyday_real,Medikament,Dosierung,everyday
D,scientific_real,"""Seit Monaten arbeitet*Professor Wolfs Team*an einem Roboter*für die Altenpflege.<br>Das Projekt lag ihr*sehr am Herzen,*da sie sich selbst*um ihre kranken Eltern<br>kümmerte.*Aber gerade*als sie dachten,*sie wären fast fertig,*drehten sich plötzlich<br>zwei Robotergelenke unkontrolliert*und er prallte*mit einem Knall*gegen die Wand.<br>Er war*letzte Woche*vom Mechaniker*gecheckt worden*und nun*gab es*wieder Probleme.<br>Sie überlegten,*wie lange*die Reparatur*wohl*dauern würde.*Prof. Wolf*fühlte sich<br>so langsam*hoffnungslos und als würde*die Zeit*gegen sie arbeiten,<br>während sie*die verkabelten Verbindungen*und Schaltkreise durchging. <br>Dann bemerkte sie*einen Fehler*in der Verkabelung*des Motors.<br>Nachdem sie*zwei Kabel vertauschte,*funktionierte der Roboter*genauso, wie er sollte.""",1,"""Hat sich Prof. Wolf um ihre Eltern gekümmert?""",j,2_scientific_real,Mechaniker,Reparatur,Robotik
D,scientific_real,"""In ihrer Freizeit redeten*die zwei Paläontologen,*Dr. Wagner und Dr. Patel,<br>gerne über ihre*gemeinsamen Interessen.*In der vergangenen Woche<br>führte Dr. Wagner*eine spannende Diskussion*über unterschiedliches*Brutverhalten.<br>Diese Woche ging es*auf Wunsch von Dr. Patel*um Skelette.<br>Er holte*eine kleine Figur*eines Triceratops*heraus*und*gab sie*weiter.<br>Vorige Woche erst*hatte er*die Fossilien*desselben*in einem Museum betrachtet.<br>Sie diskutierten*die möglichen Funktionen*dieser Hörner bei der Verteidigung.<br>Ihre Diskussionen*erstreckten sich*bis in die späten Abendstunden.<br>Sie verabredeten sich für nächste Woche,*um weiter zu diskutieren.<br>Um so gut wie möglich*vorbereitet zu sein,*lasen beide viel über das Thema.""",1,"""Haben sich die Paläontologen wieder verabredet?""",j,8_scientific_real,Triceratops,Fossilien,Paläontologie
